Timp,CPU%,Memorie%,Disk%,DiskIO,Net_RX/Net_TX,Top_CPU,Top_MEM,Cronjobs,Porturi,Procese_root,Fisiere_modificate,Pachete_noi,Status_nginx
2025-07-07 11:49:00,0,15.30,66%,0,"9394877 4303931","   1859 cinnamon        32.1;   1295 Xorg             3.1;   6809 firefox-bin      2.0;|   6809 firefox-bin      4.2;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,172,"OK","",NU_RULEAZA
2025-07-07 11:50:01,0,15.31,66%,0,"9395214 4304216","   1859 cinnamon        31.7;   1295 Xorg             3.0;   6809 firefox-bin      2.0;|   6809 firefox-bin      4.2;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,172,"OK","",NU_RULEAZA
2025-07-07 11:51:03,0,15.31,66%,0,"9395849 4304521","   1859 cinnamon        31.3;   1295 Xorg             3.0;   6809 firefox-bin      1.9;|   6809 firefox-bin      4.2;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,172,"OK","",NU_RULEAZA
2025-07-07 12:00:07,31,15.40,66%,0,"9396542 4305302","   9676 cinnamon-screen 46.0;   1859 cinnamon        28.1;   9677 systemd-journal 23.0;|   6809 firefox-bin      4.2;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,205,"OK","",NU_RULEAZA
2025-07-07 12:01:08,11,16.19,66%,0,"12221753 4372673","   1859 cinnamon        27.9;   1295 Xorg             2.7;   6809 firefox-bin      1.7;|   6809 firefox-bin      4.7;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,204,"OK","",NU_RULEAZA
2025-07-07 12:02:09,0,16.13,66%,0,"12228468 4376575","   1859 cinnamon        27.6;   1295 Xorg             2.6;   6809 firefox-bin      1.7;|   6809 firefox-bin      4.7;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,204,"OK","",NU_RULEAZA
2025-07-07 12:03:11,0,16.14,66%,0,"12228927 4377158","   1859 cinnamon        27.3;   1295 Xorg             2.6;   6809 firefox-bin      1.6;|   6809 firefox-bin      4.7;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,204,"OK","",NU_RULEAZA
2025-07-07 12:04:12,0,16.15,66%,0,"12229962 4378479","   1859 cinnamon        27.0;   1295 Xorg             2.6;   6809 firefox-bin      1.6;|   6809 firefox-bin      4.7;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,204,"OK","",NU_RULEAZA
2025-07-07 12:05:13,1,16.16,66%,0,"12230526 4378651","   1859 cinnamon        26.7;   1295 Xorg             2.6;   6809 firefox-bin      1.6;|   6809 firefox-bin      4.7;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,204,"OK","",NU_RULEAZA
2025-07-07 12:06:14,0,16.16,66%,0,"12231723 4379420","   1859 cinnamon        26.4;   1295 Xorg             2.5;   6809 firefox-bin      1.5;|   6809 firefox-bin      4.7;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,172,"OK","",NU_RULEAZA
2025-07-07 12:07:16,0,16.16,66%,0,"12232158 4380011","   1859 cinnamon        26.1;   1295 Xorg             2.5;   6809 firefox-bin      1.5;|   6809 firefox-bin      4.7;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,171,"OK","",NU_RULEAZA
2025-07-07 12:08:17,0,16.17,66%,0,"12232357 4380154","   1859 cinnamon        25.9;   1295 Xorg             2.5;   6809 firefox-bin      1.5;|   6809 firefox-bin      4.7;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,171,"OK","",NU_RULEAZA
2025-07-07 12:09:18,0,16.17,66%,0,"12232556 4380297","   1859 cinnamon        25.6;   1295 Xorg             2.5;   6809 firefox-bin      1.5;|   6809 firefox-bin      4.7;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,171,"OK","",NU_RULEAZA
2025-07-07 12:10:19,0,16.17,66%,0,"12233180 4380529","   1859 cinnamon        25.3;   1295 Xorg             2.4;   6809 firefox-bin      1.4;|   6809 firefox-bin      4.7;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,171,"OK","",NU_RULEAZA
2025-07-07 12:11:21,0,16.18,66%,0,"12234322 4381179","   1859 cinnamon        25.1;   1295 Xorg             2.4;   6809 firefox-bin      1.4;|   6809 firefox-bin      4.7;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,171,"OK","",NU_RULEAZA
2025-07-07 12:12:22,0,16.11,66%,0,"12234818 4381831","   1859 cinnamon        24.9;   1295 Xorg             2.4;   6809 firefox-bin      1.4;|   6809 firefox-bin      4.7;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,171,"OK","",NU_RULEAZA
2025-07-07 12:13:23,1,16.12,66%,0,"12235018 4381975","   1859 cinnamon        24.6;   1295 Xorg             2.4;   6809 firefox-bin      1.4;|   6809 firefox-bin      4.7;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,171,"OK","",NU_RULEAZA
2025-07-07 12:14:24,0,16.13,66%,0,"12235218 4382119","   1859 cinnamon        24.4;   1295 Xorg             2.3;   6809 firefox-bin      1.3;|   6809 firefox-bin      4.7;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,171,"OK","",NU_RULEAZA
2025-07-07 12:15:26,0,16.13,66%,0,"12236901 4382978","   1859 cinnamon        24.1;   1295 Xorg             2.3;   6809 firefox-bin      1.3;|   6809 firefox-bin      4.7;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,171,"OK","",NU_RULEAZA
2025-07-07 12:16:27,0,16.13,66%,0,"12242818 4387585","   1859 cinnamon        23.9;   1295 Xorg             2.3;   6809 firefox-bin      1.3;|   6809 firefox-bin      4.7;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,171,"OK","",NU_RULEAZA
2025-07-07 12:17:28,0,16.14,66%,0,"12243318 4387973","   1859 cinnamon        23.7;   1295 Xorg             2.3;   6809 firefox-bin      1.3;|   6809 firefox-bin      4.7;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,171,"OK","",NU_RULEAZA
2025-07-07 12:18:30,0,16.15,66%,0,"12243918 4388582","   1859 cinnamon        23.5;   1295 Xorg             2.2;   6809 firefox-bin      1.2;|   6809 firefox-bin      4.7;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.5;",25,3,171,"OK","",NU_RULEAZA
2025-07-07 12:19:31,1,16.15,66%,0,"12244058 4388666","   1859 cinnamon        23.3;   1295 Xorg             2.2;   6809 firefox-bin      1.2;|   6809 firefox-bin      4.7;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.5;",25,3,171,"OK","",NU_RULEAZA
